sample_name,cluster_id,cluster_color,cluster_label,class_id,class_color,class_label,Gad2_log10_cpm,Slc17a7_log10_cpm,Lamp5_log10_cpm,Sncg_log10_cpm,Vip_log10_cpm,Sst_log10_cpm,Pvalb_log10_cpm
F2S4_170126_003_F01,67,#00979D,L4 IT VISp Rspo1,2,#27AAE1,Glutamatergic,0,2.55457721159656,0,0,0,0,0
F2S4_170126_004_A01,67,#00979D,L4 IT VISp Rspo1,2,#27AAE1,Glutamatergic,0,2.76047540282906,0,0,0,0,0
F2S4_170126_004_C01,70,#00A809,L5 IT VISp Batf3,2,#27AAE1,Glutamatergic,0,2.92647877526828,0,0,0,0,0
F2S4_170126_004_D01,67,#00979D,L4 IT VISp Rspo1,2,#27AAE1,Glutamatergic,0,2.79025400242876,1.24337439630056,0,0,0,0
F2S4_170126_004_E01,84,#A19922,L6 IT VISp Penk Col27a1,2,#27AAE1,Glutamatergic,0,2.68066844549345,0,0,0,0,0
F2S4_170126_004_F01,63,#7AE6AB,L2/3 IT VISp Agmat,2,#27AAE1,Glutamatergic,0,2.56352660536924,3.17692202940312,0,0,0,1.22127078756495
F2S4_170126_004_G01,86,#C2E32C,L6 IT VISp Col23a1 Adamts2,2,#27AAE1,Glutamatergic,0,2.91807944998409,2.11909433598463,0,0,0,0
F2S4_170126_004_H01,67,#00979D,L4 IT VISp Rspo1,2,#27AAE1,Glutamatergic,0,2.58265883121488,2.35142620833352,0,0,0,0
F2S4_170126_005_A01,70,#00A809,L5 IT VISp Batf3,2,#27AAE1,Glutamatergic,0,3.10218382658725,0,0,0,0,0
F2S4_170126_005_B01,88,#5100FF,L6 IT VISp Car3,2,#27AAE1,Glutamatergic,0,2.65746375424364,3.23308406413916,0,0,0,0
F2S4_170126_005_C01,84,#A19922,L6 IT VISp Penk Col27a1,2,#27AAE1,Glutamatergic,0,3.08291544292177,0,0,0,0,0
F2S4_170126_005_D01,70,#00A809,L5 IT VISp Batf3,2,#27AAE1,Glutamatergic,0,2.85992986224408,0,0,0,0,0
F2S4_170126_005_E01,84,#A19922,L6 IT VISp Penk Col27a1,2,#27AAE1,Glutamatergic,0,3.03593493167184,0.350168922042936,0,0,0,0
F2S4_170126_005_G01,63,#7AE6AB,L2/3 IT VISp Agmat,2,#27AAE1,Glutamatergic,0,2.83931120912152,3.21842889439695,0,0,0,0
F2S4_170126_005_H01,69,#26FFF2,L5 IT VISp Whrn Tox2,2,#27AAE1,Glutamatergic,0,3.1929949297846,0,0,0,0,0
F2S4_170126_006_A01,70,#00A809,L5 IT VISp Batf3,2,#27AAE1,Glutamatergic,0,2.89376642852536,0,0,0,0,0
F2S4_170126_006_D01,67,#00979D,L4 IT VISp Rspo1,2,#27AAE1,Glutamatergic,0,2.5223281670282,1.36690661623736,0,0,0,0
F2S4_170126_006_E01,84,#A19922,L6 IT VISp Penk Col27a1,2,#27AAE1,Glutamatergic,0,2.72681605844597,0,0,0,0,0
F2S4_170126_006_F01,7,#C77963,Lamp5 Lhx6,1,#EF4136,GABAergic,3.32369409724673,0.216496975838677,3.34639952412622,0,0,0,0
F2S4_170126_006_G01,84,#A19922,L6 IT VISp Penk Col27a1,2,#27AAE1,Glutamatergic,0,3.03580607201395,0,0,0,0,0
F2S4_170126_006_H01,67,#00979D,L4 IT VISp Rspo1,2,#27AAE1,Glutamatergic,0,2.52027969377694,1.54414305652499,0,0,0,0
F2S4_170126_007_A01,104,#74A0FF,L6 CT VISp Gpr139,2,#27AAE1,Glutamatergic,0,3.09624807760824,0.184692184534536,0,0,0,0
F2S4_170126_007_B01,68,#00DDC5,L5 IT VISp Hsd11b1 Endou,2,#27AAE1,Glutamatergic,0,2.86775556163723,0,0,0,0,0
F2S4_170126_007_C01,67,#00979D,L4 IT VISp Rspo1,2,#27AAE1,Glutamatergic,0,2.68224640150822,1.91575002828025,0,0,0,0
F2S4_170126_007_D01,67,#00979D,L4 IT VISp Rspo1,2,#27AAE1,Glutamatergic,0,2.8643085019371,2.56387167629012,0,0,0.199133609654443,0
F2S4_170126_007_E01,67,#00979D,L4 IT VISp Rspo1,2,#27AAE1,Glutamatergic,0,2.5261966613246,2.06997638517723,0,0,0.228747597905284,0
F2S4_170126_007_F01,67,#00979D,L4 IT VISp Rspo1,2,#27AAE1,Glutamatergic,0,3.01494153522601,2.61403055977973,0,0,0,0
F2S4_170126_007_G01,67,#00979D,L4 IT VISp Rspo1,2,#27AAE1,Glutamatergic,0,2.67137764708481,0,0,0,0,0
F2S4_170126_007_H01,67,#00979D,L4 IT VISp Rspo1,2,#27AAE1,Glutamatergic,0,2.60020691421073,2.71457637223114,0,0,0,0
